IDR,GO_molfunc_terms,GO_cellcom_terms,n_GO_molfunc_terms,n_GO_cellcom_terms
P16402_112_221,nucleic acid binding; DNA binding; chromatin binding; RNA binding; structural molecule activity; protein-containing complex binding,chromatin; nucleus; chromosome; protein-containing complex; intracellular membrane-bounded organelle,6,5
P16402_1_34,nucleic acid binding; DNA binding; chromatin binding; RNA binding; structural molecule activity; protein-containing complex binding,chromatin; nucleus; chromosome; protein-containing complex; intracellular membrane-bounded organelle,6,5
P16403_1_34,nucleic acid binding; DNA binding; chromatin binding; RNA binding; structural molecule activity; protein-containing complex binding,chromatin; nucleus; chromosome; protein-containing complex; intracellular membrane-bounded organelle,6,5
P16403_112_213,nucleic acid binding; DNA binding; chromatin binding; RNA binding; structural molecule activity; protein-containing complex binding,chromatin; nucleus; chromosome; protein-containing complex; intracellular membrane-bounded organelle,6,5
P16410_1_30,,cytoplasm; Golgi apparatus; plasma membrane; external side of plasma membrane; cell surface; membrane; cytoplasmic vesicle; protein-containing complex; intracellular membrane-bounded organelle; perinuclear region of cytoplasm,0,10
P16415_35_176,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,9,2
P16435_1_70,enzyme binding; other,cytoplasm; mitochondrion; endoplasmic reticulum; endoplasmic reticulum membrane; cytosol; membrane; intracellular membrane-bounded organelle,2,7
P16442_1_66,metal ion binding; other,Golgi membrane; extracellular region; cytoplasm; Golgi apparatus; membrane; intracellular membrane-bounded organelle; other,2,7
P16455_176_207,nucleic acid binding; DNA binding; calcium ion binding; metal ion binding; other,nucleus; nucleoplasm; membrane; intracellular membrane-bounded organelle,5,4
P16471_264_622,transmembrane signaling receptor activity; signaling receptor binding; enzyme binding; protein kinase binding; signaling receptor activity; metal ion binding; other,extracellular region; cytoplasm; endosome; plasma membrane; external side of plasma membrane; cell surface; membrane; cytoplasmic vesicle; protein-containing complex; intracellular membrane-bounded organelle; receptor complex,7,11
P16473_289_404,transmembrane signaling receptor activity; G protein-coupled receptor activity; signaling receptor activity; protein-containing complex binding,plasma membrane; cell surface; membrane; basolateral plasma membrane; protein-containing complex; receptor complex,4,6
P16473_1_31,transmembrane signaling receptor activity; G protein-coupled receptor activity; signaling receptor activity; protein-containing complex binding,plasma membrane; cell surface; membrane; basolateral plasma membrane; protein-containing complex; receptor complex,4,6
P16473_619_764,transmembrane signaling receptor activity; G protein-coupled receptor activity; signaling receptor activity; protein-containing complex binding,plasma membrane; cell surface; membrane; basolateral plasma membrane; protein-containing complex; receptor complex,4,6
P16499_831_860,metal ion binding; other,plasma membrane; cilium; membrane; cell projection; neuron projection,2,5
P16519_1_30,other,extracellular region; extracellular space; nucleus; nucleoplasm; cytoplasm; membrane; dendrite; cytoplasmic vesicle; cell projection; neuron projection; neuronal cell body; perikaryon; intracellular membrane-bounded organelle,1,13
P16581_543_610,transmembrane signaling receptor activity; enzyme binding; carbohydrate binding; signaling receptor activity; metal ion binding; other,extracellular region; extracellular space; cytoplasm; cytoskeleton; plasma membrane; cell cortex; external side of plasma membrane; cell surface; membrane; membrane raft; perinuclear region of cytoplasm,6,11
P16591_393_458,actin binding; protein kinase activity; protein tyrosine kinase activity; signaling receptor binding; ATP binding; enzyme binding; protein kinase binding; small GTPase binding; cadherin binding; other,nucleus; cytoplasm; cytosol; cytoskeleton; plasma membrane; cell cortex; membrane; extrinsic component of membrane; cell junction; cell projection; intracellular membrane-bounded organelle; anchoring junction,10,12
P16615_985_1042,calcium ion binding; ATP binding; ATP hydrolysis activity; enzyme binding; transmembrane transporter binding; metal ion binding; other,cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; membrane; cell junction; protein-containing complex; intracellular membrane-bounded organelle; synapse,7,8
P16860_1_134,signaling receptor binding,extracellular region; extracellular space; nucleus; cytoplasm; protein-containing complex; intracellular membrane-bounded organelle,1,6
P16870_1_49,signaling receptor binding; zinc ion binding; metal ion binding; other,extracellular region; extracellular space; cytoplasm; Golgi apparatus; plasma membrane; membrane; cytoplasmic vesicle membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle; extracellular exosome,4,10
P16871_1_35,transmembrane signaling receptor activity; signaling receptor activity; other,extracellular region; nucleus; nucleoplasm; cytoplasm; cytosol; plasma membrane; external side of plasma membrane; cell surface; membrane; cytoplasmic vesicle membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle,3,12
P16871_271_459,transmembrane signaling receptor activity; signaling receptor activity; other,extracellular region; nucleus; nucleoplasm; cytoplasm; cytosol; plasma membrane; external side of plasma membrane; cell surface; membrane; cytoplasmic vesicle membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle,3,12
P16885_900_933,enzyme binding; protein kinase binding; other,extracellular region; extracellular space; cytoplasm; cytosol; plasma membrane; membrane; cell projection; intracellular membrane-bounded organelle; perinuclear region of cytoplasm; extracellular exosome,3,10
P16885_467_532,enzyme binding; protein kinase binding; other,extracellular region; extracellular space; cytoplasm; cytosol; plasma membrane; membrane; cell projection; intracellular membrane-bounded organelle; perinuclear region of cytoplasm; extracellular exosome,3,10
P16885_735_778,enzyme binding; protein kinase binding; other,extracellular region; extracellular space; cytoplasm; cytosol; plasma membrane; membrane; cell projection; intracellular membrane-bounded organelle; perinuclear region of cytoplasm; extracellular exosome,3,10
P16989_177_372,transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; nucleic acid binding; DNA binding; RNA binding; mRNA binding; enzyme binding; small GTPase binding; sequence-specific DNA binding; protein-containing complex binding; sequence-specific double-stranded DNA binding,nucleus; cytoplasm; cytosol; cell-cell junction; bicellular tight junction; cell junction; intracellular membrane-bounded organelle; perinuclear region of cytoplasm; anchoring junction,11,9
P16989_1_84,transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; nucleic acid binding; DNA binding; RNA binding; mRNA binding; enzyme binding; small GTPase binding; sequence-specific DNA binding; protein-containing complex binding; sequence-specific double-stranded DNA binding,nucleus; cytoplasm; cytosol; cell-cell junction; bicellular tight junction; cell junction; intracellular membrane-bounded organelle; perinuclear region of cytoplasm; anchoring junction,11,9
P17010_1_805,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; chromatin binding; DNA-binding transcription factor activity; sequence-specific DNA binding; protein-containing complex binding; metal ion binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; chromosome; nucleolus; protein-containing complex; intracellular membrane-bounded organelle,13,7
P17014_56_272,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; centrosome; microtubule organizing center; cytoskeleton; microtubule cytoskeleton; intracellular membrane-bounded organelle,10,7
P17017_1_156,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,9,2
P17019_1_93,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17020_1_255,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; nucleolus; intracellular membrane-bounded organelle,10,4
P17021_1_205,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17022_1_41,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17022_123_418,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17023_1_167,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17023_424_458,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17024_1_187,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17025_1_237,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17026_187_224,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; zinc ion binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; intracellular membrane-bounded organelle,10,3
P17026_1_48,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; zinc ion binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; intracellular membrane-bounded organelle,10,3
P17027_1_203,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17028_126_250,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; identical protein binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; intracellular membrane-bounded organelle,12,3
P17028_1_56,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; identical protein binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; intracellular membrane-bounded organelle,12,3
P17029_124_379,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17029_1_59,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17030_1_148,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17031_1_182,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17032_56_272,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17035_1_284,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17036_1_208,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; zinc ion binding; identical protein binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,12,2
P17036_415_446,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; zinc ion binding; identical protein binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,12,2
P17038_779_809,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,11,2
P17038_54_223,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,11,2
P17039_60_156,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17040_127_721,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17040_1_58,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17040_807_884,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17041_1_77,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17066_607_643,ATP binding; ATP hydrolysis activity; enzyme binding; ubiquitin protein ligase binding; other,extracellular region; extracellular space; nucleus; cytoplasm; centriole; microtubule organizing center; cytosol; cytoskeleton; plasma membrane; microtubule cytoskeleton; membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle; extracellular exosome,5,14
P17096_1_107,transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; nucleic acid binding; DNA binding; chromatin binding; transcription coregulator activity; transcription coactivator activity; RNA binding; signaling receptor binding; structural molecule activity; enzyme binding; sequence-specific DNA binding; protein-containing complex binding; molecular adaptor activity; RNA polymerase II-specific DNA-binding transcription factor binding; DNA-binding transcription factor binding; sequence-specific double-stranded DNA binding; other,chromatin; nucleus; nucleoplasm; transcription regulator complex; chromosome; cytoplasm; cytosol; focal adhesion; cell junction; protein-containing complex; intracellular membrane-bounded organelle; anchoring junction,19,12
P17097_52_259,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17097_599_641,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17097_372_417,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
P17098_1_262,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; zinc ion binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,11,2
P17098_420_575,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; zinc ion binding; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,11,2
P17152_1_36,,cytoplasm; mitochondrion; intracellular membrane-bounded organelle,0,3
P17181_1_37,transmembrane signaling receptor activity; signaling receptor activity; other,cytoplasm; lysosome; endosome; late endosome; plasma membrane; membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle,3,8
P17181_465_557,transmembrane signaling receptor activity; signaling receptor activity; other,cytoplasm; lysosome; endosome; late endosome; plasma membrane; membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle,3,8
P17213_1_34,other,extracellular region; extracellular space; cytoplasm; lysosome; membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle; extracellular exosome,1,8
P17252_292_339,protein kinase activity; protein serine/threonine kinase activity; signaling receptor binding; integrin binding; ATP binding; zinc ion binding; enzyme binding; protein-containing complex binding; metal ion binding; protein serine kinase activity,extracellular region; extracellular space; nucleus; nucleoplasm; cytoplasm; mitochondrion; endoplasmic reticulum; cytosol; plasma membrane; membrane; protein-containing complex; intracellular membrane-bounded organelle; perinuclear region of cytoplasm; extracellular exosome,10,14
P17275_1_260,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; transcription regulator complex; chromosome; protein-containing complex; intracellular membrane-bounded organelle,10,7
P17301_1_32,transmembrane signaling receptor activity; signaling receptor binding; integrin binding; signaling receptor activity; protein-containing complex binding; metal ion binding; other,nucleus; cytoplasm; plasma membrane; focal adhesion; external side of plasma membrane; cell surface; membrane; cell junction; axon; protein-containing complex; cell projection; neuron projection; intracellular membrane-bounded organelle; receptor complex; synapse; perinuclear region of cytoplasm; anchoring junction; presynapse; other,7,19
P17301_1144_1181,transmembrane signaling receptor activity; signaling receptor binding; integrin binding; signaling receptor activity; protein-containing complex binding; metal ion binding; other,nucleus; cytoplasm; plasma membrane; focal adhesion; external side of plasma membrane; cell surface; membrane; cell junction; axon; protein-containing complex; cell projection; neuron projection; intracellular membrane-bounded organelle; receptor complex; synapse; perinuclear region of cytoplasm; anchoring junction; presynapse; other,7,19
P17302_237_382,other,Golgi membrane; nucleus; nucleoplasm; cytoplasm; mitochondrion; endoplasmic reticulum; endoplasmic reticulum membrane; Golgi apparatus; plasma membrane; cell-cell junction; focal adhesion; membrane; apical plasma membrane; cell junction; cytoplasmic vesicle membrane; cytoplasmic vesicle; protein-containing complex; intracellular membrane-bounded organelle; membrane raft; anchoring junction,1,20
P17342_452_488,transmembrane signaling receptor activity; G protein-coupled receptor activity; signaling receptor activity; identical protein binding; protein homodimerization activity; protein dimerization activity; other,extracellular region; extracellular space; protein-containing complex; extracellular exosome,7,4
P17342_1_49,transmembrane signaling receptor activity; G protein-coupled receptor activity; signaling receptor activity; identical protein binding; protein homodimerization activity; protein dimerization activity; other,extracellular region; extracellular space; protein-containing complex; extracellular exosome,7,4
P17405_1_89,zinc ion binding; metal ion binding; other,extracellular region; extracellular space; cytoplasm; lysosome; endosome; plasma membrane; membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle; extracellular exosome; other,3,11
P17480_378_416,transcription cis-regulatory region binding; nucleic acid binding; DNA binding; chromatin binding; RNA binding; sequence-specific DNA binding; protein-containing complex binding; sequence-specific double-stranded DNA binding; other,fibrillar center; nucleus; nucleoplasm; nucleolus; intracellular membrane-bounded organelle,9,5
P17480_650_764,transcription cis-regulatory region binding; nucleic acid binding; DNA binding; chromatin binding; RNA binding; sequence-specific DNA binding; protein-containing complex binding; sequence-specific double-stranded DNA binding; other,fibrillar center; nucleus; nucleoplasm; nucleolus; intracellular membrane-bounded organelle,9,5
P17481_1_137,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; chromosome; protein-containing complex; intracellular membrane-bounded organelle,9,6
P17482_1_180,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; transcription regulator complex; chromosome; protein-containing complex; intracellular membrane-bounded organelle,9,7
P17483_1_151,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; chromosome; centrosome; microtubule organizing center; cytoskeleton; microtubule cytoskeleton; protein-containing complex; intracellular membrane-bounded organelle,9,10
P17509_1_137,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; RNA binding; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; chromosome; protein-containing complex; intracellular membrane-bounded organelle,10,5
